id,date,sentiment,text,title,url
1,2017-03-31 01:58:59+00:00,0.130116959,"Given the hostility being thrown their way almost every day since Clinton lost the election, Trump supporters have banded together. You'd better believe they are going to take a stand against violence""Óespecially if you hurt an innocent woman. This past weekend at a ""Make America Great Again""ù rally in Huntington Beach, a masked Never-Trumper pepper-sprayed and punched event organizer Jennifer Sterling.
Trump supporters quickly took action, beating down a group of protesters who came to violently disrupt their event. Unfortunately, a massive brawl erupted, forcing many arrests.
Travis Guenther""Ówhose wife was also pepper-sprayed at the rally""Óchased down the masked man who assaulted his wife. When he caught up to him, he hit him with a flag that read: ""Trump, Make America Great Again.""ù
""We're not xenophobic. We're not racist. We're just proud Americans,""ù Guenther told the Los Angeles Times of the incident.
Steele Vaz, 17, was shocked when he saw a masked man pepper-spray and punch Jennifer Sterling, who organized the event.
""They sprayed her. They were punching her,""ù Vaz told local reporters. ""I was here to support [Trump] but I didn't know it was going to be violent.""ù
The Huntington Beach rally was just one of 40 pro-Trump events that were scheduled throughout the country on Saturday. Though not all of them ended in violence, many were disrupted by masked protesters who assaulted Trump supporters. Fans of our president are not scared away, however.
""That is even more reason to go,""ù one woman commented.",Masked Thugs Get Beating Of A Lifetime With A Trump Flag For Attacking Republican Woman [VIDEO],http://americannews.com/masked-thugs-get-beating-lifetime-trump-flag-attacking-republican-woman-video/
2,2017-03-28 04:20:50+00:00,0.009700855,"Ever since Donald Trump became President of the United States, there has been a group working relentlessly to bring him down. Last week, it became very apparent that people are still actively gunning for him when FBI Director James Comey testified before Congress that there was no evidence Trump was ever wiretapped by Barack Obama.
Just days later, House Intelligence Chair Devin Nunes announced that he had""Óin fact""Óseen evidence that Trump was wiretapped by the Obama administration after he won the election.
As if that weren't enough, Newt Gingrich appeared on the Lou Dobbs shoe to confirm that the Deep State does exist. During his interview, he confirmed that the Deep State is made up of career bureaucrats.
""They're deliberately trying to sabotage the Trump administration, something which is going on today,""ù Gingrich said in his interview. ""Remember, 97% of donations given by Justice Department employees went to Hillary Clinton. Ninety-seven percent. So who do you think their bias is in favor of? I think it's just an objective reality that you have a Deep state, that that Deep State is permanent, long term, career bureaucrats, and they will do almost anything, including breaking the law, to try to undermine the Trump administration.""ù
Watch the segment below and tell us what you think.",Newt Gingrich Blows Safe Wide Open Exposing James Comey For Who He Really Is Live On Fox,http://americannews.com/newt-gingrich-blows-safe-wide-open-exposing-james-comey-really-live-fox/
3,2017-03-28 03:57:45+00:00,0.018277778,"In the past two years, Trey Gowdy has earned a name for himself among conservatives in the United States as a protector of justice and American values. The U.S. Representative from South Carolina has been paramount in prosecuting corrupt politicians and digging deep to get to the bottom of scandals.
Gowdy is tired of the corruption in our government""Óespecially when it comes to questions of Russian involvement at the DNC and the shadow government left behind by Barack Obama. The lack of accountability has never been more apparent, and Gowdy has had enough of it.
In a recent interview with TIME Magazine, Mandy Gonsales told TIME Magazine that the days of letting this criminal activity to be brushed under the rug are over.
""Mr. Gowdy wants to know the truth,""ù she commented. ""He hates it when there are lies and deceit going around. In this case, the Obama shadow government is doing everything it can to protect Hillary Clinton and hide the fact that the Russian connection is with the DNC, not with Donald Trump.""ù
""Gowdy will bring all of the major players""Óincluding Clinton, Obama, and FBI Director Comey""Óin front of his committee to find out exactly what's going on,""ù Gonsales continued.
When a reporter recently tracked down Barack Obama on the golf course to ask about Gowdy, Obama responded, ""Let me be clear. I'm no longer President of the United States. What I do is my business as long as it's legal. Collusion with the Russians is Trump's gig. You should be talking to him.""ù
What do you think of this? Are you confident Gowdy will be successful in exposes the corruption in the system?","""I'll Take It From Here"" Trey Gowdy Shuts Comey Up And Tells Him To Take A Sea",http://americannews.com/ill-take-trey-gowdy-shuts-comey-tells-take-seat/
4,2017-03-28 03:55:27+00:00,-0.007716049,"Ever since Hillary Clinton lost the presidential election, House Minority Leader Nancy Pelosi has been on a mission to discredit and take down Donald Trump. Just a few days ago, she took to her personal social media account to bash the president.
""Let's just grow up,""ù she tweeted. ""President Trump cannot be allowed to feel as if he can simply say whatever he wants, despite lack of evidence.""ù
Of course, the statement is extraordinarily ironic coming from Pelosi""Óand that irony did not get past Twitter users. It didn't take long for her pathetic attack to completely backfire.
""Yes, Ms. Pelosi. Let's grow up and legislate for the good of the country. Not obstruct for the good of your part or sp int's,""ù @ColeEctorIII tweeted.
""@NancyPelosi ha ha you do it all the time. What a hypocrite you are,""ù @kevindandy1 added.
One twitter user even went to specifics, tweeting: ""@NancyPelosi you said Obamacare was the way to go, without a shred of evidence supporting your position. Hell, you never read the bill.""ù
What do you think? Is Pelosi quickly losing the support of the American public with her insane attacks?","Nancy Pelosi Was Just Slammed With Devastating News, This Might Actually Be The End For Her",http://americannews.com/nancy-pelosi-just-slammed-devastating-news-might-actually-end/
5,2017-03-27 14:36:47+00:00,0.234328403,"At the beginning of the year, Hollywood star Meryl Streep made headlines for bashing Donald Trump during her speech at the Golden Globes. Now, Streep's public political attack on the president is coming back to haunt her.
New reports indicate that Streep lost a major motion picture role because she was seen as being ""too political.""ù Producers opted to go with actress Glenn Close instead""Óa less controversial choice.
The movie is about Hillary Clinton and her life. Close, a legendary actress in her own right, will be playing the former first lady and presidential candidate.
""Glenn and Meryl [Streep]'s names were both mentioned a lot but after Meryl got so political at the Golden Globes, producers thought it might be better to go with Close,""ù a source confirmed.
What do you think? Did Streep get what she deserved?",Meryl Streep Pays Big For Trashing Trump... It's All Coming Crashing Down For Her,http://americannews.com/meryl-streep-pays-big-trashing-trump-coming-crashing/
6,2017-03-26 02:24:34+00:00,-0.025,"For the first time in history, a US Congressman has demanded that a body be exhumed in connection with an investigation by a House intelligence committee. Judge Harmon Watson agreed to issue the order for a work crew in Virginia to exhume the body of Vince Foster for an autopsy.
The order came shortly after evidence turned up in the case of a murdered reporter had an ""if anything ever happens to me letter delivered to his publication. The letter heavily implicated Hillary Clinton in a 23-year-old crime""Óright around the time of Foster's ""suicide.""ù
Foster's body has already been removed from the ground. It is in the process of being transferred to the Naval Hospital in Norfolk to undergo an autopsy and look for a specific cause of death.
For now, the information in the case is being a closely guarded secret by Trey Gowdy and his federal prosecutors. Who knows""ÓHillary Clinton might just see justice after all.",Trey Gowdy Just Did What No One Else Would Dare Do,http://americannews.com/trey-gowdy-just-no-one-else-dare/
7,2017-03-26 02:18:30+00:00,-0.193367347,"House Minority Leader Nancy Pelosi has not even attempted to mask her distaste for President Donald Trump. To the contrary""Óher hatred has literally made her appear insane.
According to Mad World News, Pelosi appeared visually unhinged in an interview with CNN's Anderson Cooper. When she was asked who she believes the leader of the Democratic Party is right now, she answered Barack Obama and Hillary Clinton. Of course, neither of those two are holding office right now.
""Well, President Obama was the president of the United States until just a matter of weeks ago. I don't think that he can be dismissed as the leader of the Democratic Party,""ù Pelosi answered. ""Hillary Clinton did not win the election, but a respected leader.""ù
What do you think? Has Pelosi clearly lost her mind?",Nancy Pelosi Goes Completely Crazy On Camera In Humiliating Hysterics [WATCH],http://americannews.com/nancy-pelosi-goes-completely-crazy-camera-humiliating-hysterics-watch/
8,2017-03-25 13:22:24+00:00,0.160493827,"During the Golden Globe Awards, Hollywood A-lister Meryl Streep delivered a now-infamous speech bashing President Donald Trump. Given that she was speaking to a room of liberal Hollywood elites, she felt no threat of repercussions in the room. But that's about to change.
According to Radar Online, a movie about Hillary Clinton's life in the works and the starring role to play the failed candidate was narrowed down to Streep or Glenn Close. Many assumed Streep, who has more Academy Award nominations than anyone else in history, would be given the role. Instead, Close got the part because producers felt Streep had gotten ""too political.""ù
""Gleen and Meryl's names were both mentioned a lot but after Meryl got so political at the Golden Globes, producers thought it might be better to go with close,""ù a Hollywood source said.
What do you think? Did Streep get what she deserved?","A Month After Meryl Streep's Vicious Attack On Trump, She Get's The Worst News Of Her Career",http://americannews.com/month-meryl-streeps-vicious-attack-trump-gets-worst-news-career/
9,2017-03-23 23:56:43+00:00,0.083015873,"On Wednesday afternoon, CNN made a deflated announcement that some messages from members of the Donald Trump transition team, and possibly the president himself, had been intercepted and released to other agencies""Ówith their names unmasked.
That evening, CNN's ""Anderson Cooper 360""ù announced its own ""breaking report,""ù suggesting it had information that Trump associates had coordinated with Russian operatives to release information that was damaging to Clinton's campaign. Of course, CNN's ""exclusive""ù story was only based on anonymous sources that suggested that Trump associates ""may have coordinated""ù with Russian operatives.
Here's a peek into what CNN reported:
One law enforcement official said the information in hand suggests ""people connected to the campaign were in contact and it appeared they were giving the thumbs up to release information when it was ready.""ù But other U.S. officials who spoke to CNN say it's premature to draw that inference from the information gathered so far since it's largely circumstantial.
The FBI cannot yet prove that collusion took place, but the information suggesting collusion is now a large focus of the investigation, the officials said.
Critics were quick to notice the extensive amount of ""ifs""ù in a ""breaking""ù news story, and the fact that this came from an anonymous source reportedly associated with the FBI. But Democrats quickly latched onto the information and started spreading it like fact.
And CNN wonders why Trump calls them fake news...","CNN Takes Huge Hit, They Never Expected This From The Surveillance Report",http://americannews.com/cnn-takes-huge-hit-never-expected-surveillance-report/
10,2017-03-23 23:51:02+00:00,-0.042727273,"This week, FBI Director James Comey publicly announced there is no evidence that Barack Obama wiretapped him and confirmed that the bureau is investigating Russia's role in the election. Of course, Comey's reputation has been called into question over the past year after a series of questionable decisions in the Hillary Clinton email scandal.
Now, a new online poll has revealed that the majority of Americans do not trust Comey. According to Truthfeed, of the 554 Americans polled, 91% of them said they do not trust the FBI director to tell the truth.
That means that Comey's claims that ""the FBI and the Justice Department have no information to support""ù Trump's allegations, fell on deaf ears.
""We're investigating whether there was any coordination between people associated with the Trump campaign and the Russians,""ù Comey said, according to USA Today. Conveniently, he did not mention that no evidence have been found of any collusion between Trump and Russia.
What do you think? Do you take Comey's word with a grain of salt?",BREAKING: His Career Is Over... James Comey Receives Terribly Devastating News,http://americannews.com/breaking-career-james-comey-receives-terribly-devastating-news/
