id,date,sentiment,text,title,url
t1,2017-03-31 01:58:59+00:00,0.130116959,"Given the hostility being thrown their way almost every day since Clinton lost the election, Trump supporters have banded together. You'd better believe they are going to take a stand against violence""îespecially if you hurt an innocent woman. This past weekend at a ""Make America Great Again""ù rally in Huntington Beach, a masked Never-Trumper pepper-sprayed and punched event organizer Jennifer Sterling.
Trump supporters quickly took action, beating down a group of protesters who came to violently disrupt their event. Unfortunately, a massive brawl erupted, forcing many arrests.
Travis Guenther""îwhose wife was also pepper-sprayed at the rally""îchased down the masked man who assaulted his wife. When he caught up to him, he hit him with a flag that read: ""Trump, Make America Great Again.""ù
""We're not xenophobic. We're not racist. We're just proud Americans,""ù Guenther told the Los Angeles Times of the incident.
Steele Vaz, 17, was shocked when he saw a masked man pepper-spray and punch Jennifer Sterling, who organized the event.
""They sprayed her. They were punching her,""ù Vaz told local reporters. ""I was here to support [Trump] but I didn't know it was going to be violent.""ù
The Huntington Beach rally was just one of 40 pro-Trump events that were scheduled throughout the country on Saturday. Though not all of them ended in violence, many were disrupted by masked protesters who assaulted Trump supporters. Fans of our president are not scared away, however.
""That is even more reason to go,""ù one woman commented.",Masked Thugs Get Beating Of A Lifetime With A Trump Flag For Attacking Republican Woman [VIDEO],http://americannews.com/masked-thugs-get-beating-lifetime-trump-flag-attacking-republican-woman-video/
t2,2017-03-30 04:08:36+00:00,0.176068376,"Well, it is official: the White House has just announced that Ivanka Trump is joining her father's administration as an unpaid employee with the title 'Assistant to the President.' The move is likely designed to combat ethic experts who challenged her initial plans to serve in a more informal capacity as first daughter.
Ivanka told reporters she ""heard the concerns some have with my advising the president in my personal capacity.""ù
Ivanka's husband, Jared Kusher, is a senior adviser to President Donald Trump. The White House confirmed that it was ""pleased that Ivanka Trump has chosen to take this step in her unprecedented role as first daughter.""ù
In her statement about accepting the title, Ivanka said she had been ""working in good faith with the White House Counsel and my personal counsel to address the unprecedented nature of my role.""ù
Ethics experts went nuts last week when it was announced that Ivanka was going to be receiving a West Wing office and security clearance, without formally joining the administration. They argued it should be made official so she was bound by federal employee transparency and ethical standards, including a law prohibiting conflicts of interest. Ivanka's lawyer said her client will comply with the necessary financial disclosures and be subject to official ethics rules.
Ivanka has already stepped down from her leadership role in the Trump Organization, although she will continue to receive fixed payments from the real estate firm.
What do you think? Are you thrilled to have Ivanka officially on Trump's team?",Ivanka Trump Just Got Amazing News... But Liberals Are Furious,http://americannews.com/ivanka-trump-just-got-amazing-news-liberals-furious/
t3,2017-03-30 03:57:46+00:00,-0.004545455,"This week, California representative Maxine Waters claimed that black Americans who hate President Trump are actually more patriotic than his supporters.
""I oppose this president,""ù Waters said during a speech. ""I do not honor this president. I do not respect this president.""ù
""African-Americans have struggled and fought historically, many African-Americans have paid a huge price fighting for justice and equality in this country, have died for it. I don't have to call the names of Martin Luther King and all the others,""ù she continued. ""We have paid a price""îwe have fought.""ù
""But guess what? Despite the fact that America has not always been there for us, we've always been there for America,""ù Waters argued. ""We have fought in America's wars. We have suffered discrimination, we have suffered isolation and undermining. But we stand up for America, oftentimes when others who think they are more patriotic, who say they are more patriotic, do not.""ù
""When we fight against this president, and we point out how dangerous he is for this society and for this country, we're fighting for the democracy. We're fighting for America. We're saying to those who say they're patriotic but they've turned a blind eye to the destruction that he's about to cause this country, 'You're not nearly as patriotic as we are,'""ù she concluded.
What do you think of Waters' ridiculous argument?",Maxine Waters: 'Black People Who Hate Trump Are More Patriotic Than Trump Supporters',http://americannews.com/maxine-waters-black-people-hate-trump-patriotic-trump-supporters/
t4,2017-03-30 03:55:01+00:00,0.102083333,"Not long ago, a group of progressive rabbis led a protest against Donald Trump and his temporary ban on refugees and immigrants from majority-Muslim countries. The rabbis reportedly protested by blocking traffic on Central Park West outside of Trump International Hotel and Tower.
The night began with a march involving 200 people just north of the hotel on 88th and Broadway. Eventually, the NYPD was forced to step in and arrest 20 of the protesters, charging most of them with disorderly conduct and obstructing traffic.
""I'm putting my body on the line tonight because we're obligated as Jews to stand with people seeking safety and seeking home,""ù Rabbi Rachel Timoner of Congregation Beth Elohim in Brooklyn said in a statement.
""I'm risking arrest today because America welcomed my own immigrant family to its shores, as it did millions of families before us who fled persecution,""ù Rabbi Sharon Kleinbaum of Congregation Beit Simchat Torah. ""We're repeating the tragedy of the St. Louis, the ship carrying 908 Jewish refugees that America turned away in 1939, sending them back to Europe where many were murdered.""ù
Watch the segment below and tell us what you think.",Angry Libs Step In Front Of Traffic Outside Trump Hotel Get Brutal Karma,http://americannews.com/angry-libs-step-front-traffic-outside-trump-hotel-get-brutal-karma/
t5,2017-03-29 18:53:25+00:00,-0.162037037,"In West Virginia's bucolic Boone County, there are scattered reminders everywhere of better days ""ñ a tattered American flag, dusty swing sets and metal chimes blowing in the wind.
A decade ago, this coal community was thriving. It led the nation in mining jobs, had a vibrant economy and was giving back to its people.
Then a wave of environmental regulations hit, along with an overall shift toward other forms of energy. Aimed at cutting out coal in favor of wind and solar, the changes had devastating effects on towns built around the industry.","Coal Town Hopes for Economic Boost After Trump ""Ends War""",http://americannews.com/coal-town-hopes-economic-boost-trump-ends-war/
t6,2017-03-29 07:39:04+00:00,0.093648019,"Throughout his eight years as president, Barack Obama spent millions of dollars on Air Force One. That's an expense that Donald
Trump considers grossly unnecessary, and he wasted no time trying to lower the costs as soon as he took office.
According to Freedom Daily, Trump has just debuted the new look of his Air Force One""îand it's a sharp contrast to Obama's. After renegotiating the production cost of the presidential aircraft, Trump made it look more like Trump Tower. The new aircraft exudes class and elegance.
There is no question that Trump's success in the business world gave him skills that he is already putting to use in his presidency. Hehas an impressive ability to get less for more""îand American taxpayers will benefit from that.
What do you think of President Trump's new aircraft?","Trump Steps Off Air Force One, But If You Look Closely Something Is Very Different [ZOOM]",http://americannews.com/trump-steps-off-air-force-one-look-closely-something-different-zoom/
t7,2017-03-29 07:34:36+00:00,0.078693182,"For some bizarre reason, liberals seem staunchly opposed to recognizing the true threat that migrants pose to our country. They argue
that being cautious is un-American, but all we have to do to see what is at stake is look to other Western countries. Fortunately,
President Donald Trump is not afraid to call things like they are.
According to Breitbart, Trump has just outlined a new ""extreme vetting""ù system that would require new immigrants from Muslim-
dominated countries to pledge that they have no desire to enact Sharia Law in the United States.
""In the Cold War, we had an ideological screening test,""ù Trump said of the measure. ""The time is overdue to develop a new screening
test for the threats we face today. I call it extreme, extreme vetting. Our country has enough problems. We don't need more. And these
are problems like we've never seen before.""ù
""In addition to screening out all members or sympathizers of terrorist groups, we must also screen out any who have hostile attitudes
toward our country or its principles""îor who believe that Sharia law should supplant American law,""ù he added.
What do you think? Do you support Trump's initiative?",Donald Trump Announces He Is Going To Stop Sharia Law In America Once And For All,http://americannews.com/donald-trump-announces-going-stop-sharia-law-america/
t8,2017-03-28 04:09:18+00:00,0.026246941,"In the past month alone, three intruders have jumped the fence at the White House. One of them even managed to evade the Secret Service on the estate's grounds for 17 minutes. Now, President Donald Trump is making some serious changes to the Secret Service""îand it's unlike anything we've seen before.
The Washington Examiner has reported that Trump is preparing to name a new Secret Service director and for the first time ever, the agency chief will be coming from outside the service.
Sources believe Department of Homeland Security Secretary John Kelly, a retired Marine general and former head of U.S. Central Command, will name another general to head the Secret Service. The Trump administration is hoping new direction can help impose more rigorous discipline, two sources told reporters.
No 26-year-old should be able to successfully make it to the back door of the White House, as Jonathan Tran did just weeks ago when he arrived on the doorstep and announced he had an appointment with the president. Six Uniformed Division officers are facing disciplinary action for their inability to detain the young man faster.
What do you think? Is this a smart move on Trump's part?","Trump Stands Up For Secret Service, Does Something Unthinkable No One Has Ever Done",http://americannews.com/trump-stands-secret-service-something-unthinkable-no-one-ever-done/
t9,2017-03-27 14:36:47+00:00,0.234328403,"At the beginning of the year, Hollywood star Meryl Streep made headlines for bashing Donald Trump during her speech at the Golden Globes. Now, Streep's public political attack on the president is coming back to haunt her.
New reports indicate that Streep lost a major motion picture role because she was seen as being ""too political.""ù Producers opted to go with actress Glenn Close instead""îa less controversial choice.
The movie is about Hillary Clinton and her life. Close, a legendary actress in her own right, will be playing the former first lady and presidential candidate.
""Glenn and Meryl [Streep]'s names were both mentioned a lot but after Meryl got so political at the Golden Globes, producers thought it might be better to go with Close,""ù a source confirmed.
What do you think? Did Streep get what she deserved?",Meryl Streep Pays Big For Trashing Trump... It's All Coming Crashing Down For Her,http://americannews.com/meryl-streep-pays-big-trashing-trump-coming-crashing/
t10,2017-03-27 04:15:51+00:00,0.266666667,"After eight years with Obama in the White House, ready and willing to give out handouts to those who don't contribute to society, it is refreshing to finally have a law and order president like President Donald Trump.
On the campaign trail, Trump promised to scale back the nearly 43 million Americans on SNAP""îexpected to cost taxpayers $45 billion this coming fiscal year alone. This week, the Department of Agriculture announced a change in the way that food stamps or the Supplemental Nutrition Assistance Plan (SNAP) will be issued.
The Department now intends to be stricter about who is eligible for the program. The guidelines were updated three years ago, but have not been implemented yet. Section 4008 of the 2014 Farm Bill denied benefits to two main groups: those ""convicted of federal aggravated sexual abuse, murder, sexual exploitation and abuse of children, sexual assault, or similar offenses under state laws; and those who are not in compliance with the terms of their sentence or parole or are fleeing felons.""ù
Remarkably, these common-sense rules have not been enforced since 2014.",BREAKING: Trump Just Stopped These 2 Types Of People From Ever Getting Welfare Again,http://americannews.com/breaking-trump-just-stopped-2-types-people-ever-getting-welfare/
